country,code,trade_openness,gdp_per_capita,population,urban_pct,democracy,region,log_gdp_pc,log_population
Albania,ALB,75.382126,15948.279,2885011,56.76391,0.512,Europe,9.67710620270488,14.875039270742025
Algeria,DZA,46.506844,15199.199,43294551,72.48245,0.288,Africa,9.628998008077392,17.58353734209771
American Samoa,ASM,156.56877,NA,50230,83.054214,NA,NA,NA,10.82436773674409
Angola,AGO,60.714825,9648.011,32375633,66.66378,0.348,Africa,9.174507059098987,17.292916629916387
Antigua and Barbuda,ATG,137.53778,29651.863,91377,24.708338,NA,NA,10.297280235504235,11.422749084637442
Argentina,ARG,32.630615,26629.553,44973469,91.85678,0.788,South America,10.189776893086925,17.621583296087493
Armenia,ARM,97.84701,16215.36,2903975,65.0047,0.793,Asia,9.69371422016009,14.881591046074341
Aruba,ABW,137.96193,39652.633,107089,62.288277,NA,NA,10.587912630911173,11.581415543411271
Australia,AUS,46.001682,58048.617,25482714,87.30196,0.825,Oceania,10.969036162552829,17.053510897909582
Austria,AUT,108.20728,64609.375,8880876,68.317604,0.863,Europe,11.076114803080257,15.999410758751543
Azerbaijan,AZE,85.818146,20101.492,10110483,58.130817,0.193,Asia,9.908549320148063,16.129083364336203
Bahamas,BHS,68.78662,33202.49,394684,81.825745,NA,NA,10.41038015209222,12.885840723712489
Bahrain,BHR,135.41754,56749.96,1485675,100,0.117,Asia,10.946410230497586,14.211379772398992
Bangladesh,BGD,31.578054,6838.326,164913060,30.82284,0.251,Asia,8.830298243821543,18.92092898390857
Belarus,BLR,130.8504,26798.82,9435415,77.45508,0.26,Europe,10.196113135678859,16.0599807209791
Belgium,BEL,165.46548,60479.977,11490623,87.09616,0.902,Europe,11.010067630562338,16.257041869416824
Belize,BLZ,102.44186,11765.975,385833,42.90776,NA,NA,9.372967170655869,12.863159912343157
Benin,BEN,63.68133,3281.1047,12726760,48.71255,0.456,Africa,8.0959354434547,16.35921742124943
Bermuda,BMU,77.560104,95519.92,64130,100,NA,NA,11.46709009110514,11.068667552142909
Bhutan,BTN,76.12352,14555.188,764830,39.074684,0.601,Asia,9.585702772619838,13.547408865891434
Bolivia,BOL,45.820972,11930.916,11671386,69.7335,0.481,South America,9.38688829336824,16.272650763277447
Bosnia and Herzegovina,BIH,94.51613,16203.45,3345532,49.465042,0.524,Europe,9.692979461510046,15.023136282246695
Botswana,BWA,83.09298,18106.01,2332082,66.32717,0.654,Africa,9.803999206338338,14.662271988784575
Brazil,BRA,28.890259,18018.621,207455459,86.6798,0.698,South America,9.799161002151928,19.15042721917157
Brunei,BRN,108.50966,80228.16,442690,74.79233,NA,NA,11.292629854420147,13.000625029804612
Bulgaria,BGR,125.26042,27736.375,6975466,73.71623,0.614,Europe,10.230500007608043,15.757909693475854
Burkina Faso,BFA,60.40869,2391.5364,20961956,26.118725,0.657,Africa,7.779691283577382,16.858219733673707
Cambodia,KHM,115.73668,6448.885,16481305,39.583023,0.195,Asia,8.771662526629331,16.617737266203687
Cameroon,CMR,43.378513,4882.3555,25506095,53.94879,0.283,Africa,8.493383066818767,17.05442800117586
Canada,CAN,66.171486,57583.848,37782934,81.73637,0.851,North America,10.96099739069321,17.447368077159883
Cape Verde,CPV,103.60265,9111.63,514116,71.62543,0.79,Africa,9.117306898508025,13.150204199909043
Cayman Islands,CYM,114.83854,77476.84,67346,100,NA,NA,11.257734331970576,11.117598788834988
Central African Republic,CAF,50.0658,1145.0956,4944708,41.780045,0.379,Africa,7.043243405952738,15.413828471750461
Chad,TCD,46.677723,2604.5315,16685223,24.273106,0.273,Africa,7.865008091564019,16.630034035376468
Chile,CHL,57.611755,28218.535,19197748,88.127365,0.829,South America,10.247734310522752,16.770303538452136
China,CHN,35.19942,18820.514,1423520357,62.709915,0.075,Asia,9.842702724137304,21.076398765247482
Colombia,COL,37.558533,17336.771,49907987,77.45956,0.659,South America,9.760585016154348,17.725691608033735
Comoros,COM,42.268078,3451.4214,786582,31.728758,0.318,Africa,8.146541425176709,13.575452255422825
Congo,COG,91.57575,6939.369,5616656,63.51764,0.25,Africa,8.844966127176976,15.541247026982939
Costa Rica,CRI,65.76053,23364.783,4999549,77.04359,0.896,North America,10.05898516769572,15.42485826633011
Cote d'Ivoire,CIV,44.66041,5894.879,28193014,51.35148,0.532,Africa,8.681839286891432,17.15458477472162
Croatia,HRV,101.39477,33419.375,3986338,56.30325,0.742,Europe,10.416891100598091,15.198383572948593
Cuba,CUB,22.82089,NA,11202847,77.07282,0.181,North America,NA,16.231678500391457
Cyprus,CYP,150.50616,43249.793,1286669,66.76774,0.84,Europe,10.674747726221405,14.067567266242762
Czechia,CZE,138.15462,47763.617,10554872,72.78764,0.808,Europe,10.774019478029718,16.172098112236977
Democratic Republic of Congo,COD,60.914352,1394.7646,92947450,42.87471,0.346,Africa,7.240480934496626,18.347544837651046
Denmark,DNK,111.89147,67131.47,5814618,88.20965,0.917,Europe,11.114408214503262,15.575885649601668
Djibouti,DJI,320.93924,5809.3047,1088710,71.74181,0.252,Africa,8.66721616970695,13.90050406709392
Dominican Republic,DOM,50.912983,21451.287,10894043,73.540344,0.541,North America,9.973539922556235,16.203726684044828
East Timor,TLS,70.61424,5103.1494,1300946,29.114876,0.699,Asia,8.537613157531355,14.078602250099786
Ecuador,ECU,48.082848,13870.489,17340017,63.062714,0.618,South America,9.53751876863549,16.668527509708348
Egypt,EGY,41.124016,15026.568,107553159,42.4812,0.174,Africa,9.617575113359344,18.49349578563159
El Salvador,SLV,76.042015,10543.938,6222316,72.414894,0.594,North America,9.263306376603605,15.643652742678203
Equatorial Guinea,GNQ,94.87879,18446.592,1670184,70.11754,0.179,Africa,9.822634916959519,14.328444357964326
Estonia,EST,140.35214,42218.96,1326822,69.57874,0.898,Europe,10.650624688223504,14.098297167165683
Eswatini,SWZ,86.64079,10099.586,1179885,24.345955,0.135,Africa,9.220249711890224,13.980927534065426
Ethiopia,ETH,28.815294,2437.9705,115737384,21.24867,0.335,Africa,7.798921209885976,18.566834251469874
Faroe Islands,FRO,108.623245,68134.03,51868,38.394566,NA,NA,11.129232073640225,10.856457308668775
Finland,FIN,80.56415,56922.49,5521754,72.74312,0.88,Europe,10.949445796854848,15.524206121403475
France,FRA,66.42898,53448.555,65729460,78.68908,0.867,Europe,10.886474881475962,18.001057784779267
French Polynesia,PYF,63.306114,NA,279040,61.782413,NA,NA,NA,12.539110419702752
Gabon,GAB,73.42809,19491.406,2267711,89.90318,0.382,Africa,9.877728929458423,14.634281510666428
Gambia,GMB,55.997913,2750.8213,2456847,61.64321,0.526,Africa,7.91965480061768,14.714389378502123
Georgia,GEO,117.81008,18186.88,3796722,58.63041,0.625,Asia,9.808455733985713,15.149648620836937
Germany,DEU,79.07324,62849.375,83559184,81.3054,0.882,Europe,11.048496269657095,18.241065729166948
Ghana,GHA,76.82481,6508.2466,31258943,55.72463,0.722,Africa,8.780825359446498,17.257816069206143
Greece,GRC,80.590096,33502.75,10718581,78.18881,0.864,Europe,10.419382803996234,16.187489335442343
Greenland,GRL,92.19075,68534.945,56109,87.02179,NA,NA,11.135099040155493,10.93505150645111
Guam,GUM,78.064514,NA,161819,94.07998,NA,NA,NA,11.99423370563689
