country,code,year,trade_openness,gdp_per_capita,population,labour_productivity,schooling,democracy,region,urban_pct,life_expectancy,log_gdp_pc,log_population,log_productivity
Albania,ALB,2019,75.382126,15948.279,2885011,16.41217,10.32,0.512,Europe,56.76391,79.4669,9.67710620270488,14.875039270742025,2.7980231328007266
Algeria,DZA,2019,46.506844,15199.199,43294551,23.577648,8.18,0.288,Africa,72.48245,75.6818,9.628998008077392,17.58353734209771,3.160299144587233
American Samoa,ASM,2019,156.56877,NA,50230,NA,NA,NA,NA,83.054214,72.7511,NA,10.82436773674409,NA
Angola,AGO,2019,60.714825,9648.011,32375633,7.9655814,NA,0.348,Africa,66.66378,63.0511,9.174507059098987,17.292916629916387,2.0751299350483365
Antigua and Barbuda,ATG,2019,137.53778,29651.863,91377,NA,NA,NA,NA,24.708338,77.1681,10.297280235504235,11.422749084637442,NA
Argentina,ARG,2019,32.630615,26629.553,44973469,33.71197,9.86,0.788,South America,91.85678,76.8475,10.189776893086925,17.621583296087493,3.5178529671705974
Armenia,ARM,2019,97.84701,16215.36,2903975,24.245123,10.54,0.793,Asia,65.0047,75.1931,9.69371422016009,14.881591046074341,3.1882154837554184
Aruba,ABW,2019,137.96193,39652.633,107089,NA,NA,NA,NA,62.288277,76.0193,10.587912630911173,11.581415543411271,NA
Australia,AUS,2019,46.001682,58048.617,25482714,71.46591,12.93,0.825,Oceania,87.30196,83.2412,10.969036162552829,17.053510897909582,4.26922055278592
Austria,AUT,2019,108.20728,64609.375,8880876,81.325676,10.39,0.863,Europe,68.317604,81.9072,11.076114803080257,15.999410758751543,4.398461784651951
Azerbaijan,AZE,2019,85.818146,20101.492,10110483,21.091812,NA,0.193,Asia,58.130817,73.29,9.908549320148063,16.129083364336203,3.04888490829643
Bahamas,BHS,2019,68.78662,33202.49,394684,NA,NA,NA,NA,81.825745,71.4084,10.41038015209222,12.885840723712489,NA
Bahrain,BHR,2019,135.41754,56749.96,1485675,55.19671,8.21,0.117,Asia,100,80.4706,10.946410230497586,14.211379772398992,4.0109033500575375
Bangladesh,BGD,2019,31.578054,6838.326,164913060,6.474508,7.23,0.251,Asia,30.82284,72.6254,8.830298243821543,18.92092898390857,1.8678726201426443
Belarus,BLR,2019,130.8504,26798.82,9435415,30.700844,NA,0.26,Europe,77.45508,74.2555,10.196113135678859,16.0599807209791,3.424290146071935
Belgium,BEL,2019,165.46548,60479.977,11490623,79.80308,11.57,0.902,Europe,87.09616,81.8353,11.010067630562338,16.257041869416824,4.379562100202166
Belize,BLZ,2019,102.44186,11765.975,385833,NA,10.71,NA,NA,42.90776,72.5766,9.372967170655869,12.863159912343157,NA
Benin,BEN,2019,63.68133,3281.1047,12726760,NA,6.27,0.456,Africa,48.71255,59.8875,8.0959354434547,16.35921742124943,NA
Bermuda,BMU,2019,77.560104,95519.92,64130,NA,NA,NA,NA,100,81.2507,11.46709009110514,11.068667552142909,NA
Bhutan,BTN,2019,76.12352,14555.188,764830,NA,NA,0.601,Asia,39.074684,72.0049,9.585702772619838,13.547408865891434,NA
Bolivia,BOL,2019,45.820972,11930.916,11671386,9.550994,9.06,0.481,South America,69.7335,67.8198,9.38688829336824,16.272650763277447,2.2566452328459325
