country,code,trade_openness,gdp_per_capita,democracy,region
Albania,ALB,75.382126,15948.279,0.512,Europe
Algeria,DZA,46.506844,15199.199,0.288,Africa
Angola,AGO,60.714825,9648.011,0.348,Africa
Argentina,ARG,32.630615,26629.553,0.788,South America
Armenia,ARM,97.84701,16215.36,0.793,Asia
Australia,AUS,46.001682,58048.617,0.825,Oceania
Austria,AUT,108.20728,64609.375,0.863,Europe
Azerbaijan,AZE,85.818146,20101.492,0.193,Asia
Bahrain,BHR,135.41754,56749.96,0.117,Asia
Bangladesh,BGD,31.578054,6838.326,0.251,Asia
Belarus,BLR,130.8504,26798.82,0.26,Europe
Belgium,BEL,165.46548,60479.977,0.902,Europe
Benin,BEN,63.68133,3281.1047,0.456,Africa
Bhutan,BTN,76.12352,14555.188,0.601,Asia
Bolivia,BOL,45.820972,11930.916,0.481,South America
Bosnia and Herzegovina,BIH,94.51613,16203.45,0.524,Europe
Botswana,BWA,83.09298,18106.01,0.654,Africa
Brazil,BRA,28.890259,18018.621,0.698,South America
Bulgaria,BGR,125.26042,27736.375,0.614,Europe
Burkina Faso,BFA,60.40869,2391.5364,0.657,Africa
Cambodia,KHM,115.73668,6448.885,0.195,Asia
Cameroon,CMR,43.378513,4882.3555,0.283,Africa
Canada,CAN,66.171486,57583.848,0.851,North America
Cape Verde,CPV,103.60265,9111.63,0.79,Africa
Central African Republic,CAF,50.0658,1145.0956,0.379,Africa
Chad,TCD,46.677723,2604.5315,0.273,Africa
Chile,CHL,57.611755,28218.535,0.829,South America
China,CHN,35.19942,18820.514,0.075,Asia
Colombia,COL,37.558533,17336.771,0.659,South America
Comoros,COM,42.268078,3451.4214,0.318,Africa
Congo,COG,91.57575,6939.369,0.25,Africa
Costa Rica,CRI,65.76053,23364.783,0.896,North America
Cote d'Ivoire,CIV,44.66041,5894.879,0.532,Africa
Croatia,HRV,101.39477,33419.375,0.742,Europe
Cyprus,CYP,150.50616,43249.793,0.84,Europe
Czechia,CZE,138.15462,47763.617,0.808,Europe
Democratic Republic of Congo,COD,60.914352,1394.7646,0.346,Africa
Denmark,DNK,111.89147,67131.47,0.917,Europe
Djibouti,DJI,320.93924,5809.3047,0.252,Africa
Dominican Republic,DOM,50.912983,21451.287,0.541,North America
East Timor,TLS,70.61424,5103.1494,0.699,Asia
Ecuador,ECU,48.082848,13870.489,0.618,South America
Egypt,EGY,41.124016,15026.568,0.174,Africa
El Salvador,SLV,76.042015,10543.938,0.594,North America
Equatorial Guinea,GNQ,94.87879,18446.592,0.179,Africa
Estonia,EST,140.35214,42218.96,0.898,Europe
Eswatini,SWZ,86.64079,10099.586,0.135,Africa
Ethiopia,ETH,28.815294,2437.9705,0.335,Africa
Finland,FIN,80.56415,56922.49,0.88,Europe
France,FRA,66.42898,53448.555,0.867,Europe
Gabon,GAB,73.42809,19491.406,0.382,Africa
Gambia,GMB,55.997913,2750.8213,0.526,Africa
Georgia,GEO,117.81008,18186.88,0.625,Asia
Germany,DEU,79.07324,62849.375,0.882,Europe
Ghana,GHA,76.82481,6508.2466,0.722,Africa
Greece,GRC,80.590096,33502.75,0.864,Europe
Guatemala,GTM,45.516735,11466.377,0.604,North America
Guinea,GIN,78.41531,3557.4624,0.353,Africa
Guinea-Bissau,GNB,49.943512,2442.1067,0.531,Africa
Haiti,HTI,44.568718,3392.4326,0.403,North America
Honduras,HND,99.45998,6264.019,0.368,North America
Hong Kong,HKG,353.74353,65388.332,0.301,Asia
